Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
7/30/2018,271.65,266.2,267.5,7801098,21000.75134,29687
7/31/2018,270.45,262.2,264.1,10026055,26565.04311,49931
8/1/2018,268,250,265.05,53282545,138567.2082,168788
8/2/2018,266.45,258.7,260.85,17421472,45750.85041,54131
8/3/2018,263.85,257.6,258.45,9044248,23601.77002,32352
8/6/2018,261.8,252.5,254.05,11371744,29289.54669,38056
8/7/2018,256,250.55,251.6,14490829,36682.50167,37612
8/8/2018,258.25,251.85,255.15,16125867,41180.52351,37834
8/9/2018,260.4,255.5,257.85,7777719,20096.49693,27001
8/10/2018,258.65,249.55,250.1,14606037,36890.22002,41369
8/13/2018,249.7,243.1,248.7,13877900,34329.57569,37779
8/14/2018,249.85,247.2,248.8,9171033,22794.87011,21600
8/16/2018,252.8,245.25,251.3,14148347,35397.34482,43056
8/17/2018,260.1,253,258.25,16117660,41384.34027,41082
8/20/2018,271.85,259.2,270.1,25576718,68451.19619,90026
8/21/2018,274.7,266.7,268.8,19505584,53001.72763,78368
8/23/2018,269.2,256,256.9,18667622,48564.7881,72869
8/24/2018,258.65,255,255.5,8703468,22349.91162,42801
8/27/2018,259.5,256.5,258.8,6127707,15824.59588,46154
8/28/2018,263.25,259.05,260,8506857,22214.5547,61772
8/29/2018,263.5,261,261.7,5117552,13426.56977,57912
8/30/2018,263,259,259.35,6333570,16491.37025,62178
8/31/2018,268.25,258.1,267.5,12360078,32681.16234,46353
9/3/2018,273,265.25,266.6,14597832,39297.4246,47086
9/4/2018,270.8,260.35,261.95,14775900,39257.4932,44976
9/5/2018,271,255.4,266.5,10084307,26420.88211,59248
9/6/2018,272,263.85,269.95,14736214,39551.12115,56068
9/7/2018,279.9,269.25,277.4,26189156,72383.38281,86332
9/10/2018,282,271.75,275.7,21322969,59153.44895,74705
9/11/2018,278.85,265.7,267.3,13444031,36681.14438,51191
9/12/2018,268.2,258.85,262.4,14456273,37882.95435,50616
9/14/2018,269.6,263.4,266.6,10710620,28560.89711,37758
9/17/2018,264.1,259.65,260.25,9461420,24800.74283,36123
9/18/2018,259.8,250.6,251.5,11554420,29510.44778,51701
9/19/2018,255,251,252.6,7845650,19857.67807,37958
9/21/2018,257.7,228.85,250.35,18547453,46348.99784,78882
9/24/2018,251,239.35,240.2,8889259,21725.73032,56948
9/25/2018,243.5,235.45,240.8,9030367,21668.39777,65340
9/26/2018,243.2,229.55,233.35,17810869,41656.11348,100057
9/27/2018,236.55,223.1,225.25,17430781,39805.46037,89992
9/28/2018,230.7,219.5,223.7,14196824,32034.91074,45793
10/1/2018,230.45,220,229.35,9743094,21960.97865,35894
10/3/2018,232.8,225.8,227.6,9094685,20842.03953,30745
10/4/2018,230.8,221.75,223.25,13898979,31357.47886,35315
10/5/2018,226.45,214.75,216.25,10471026,23121.41999,32149
10/8/2018,218.5,208.1,212.35,11854170,25361.34501,36598
10/9/2018,206,170.3,184.35,142760251,263261.6969,232589
10/10/2018,190.95,185.05,188.75,35670907,67056.14097,79279
10/11/2018,187.75,178,182.95,19323517,35665.97372,53215
10/12/2018,188.4,182.6,183.75,18014894,33353.70341,46782
10/15/2018,186.5,182.7,184.35,11658409,21487.324,28685
10/16/2018,187.25,184.55,185.85,9695745,18036.84697,31394
10/17/2018,187.8,179.1,179.95,12004524,21978.14676,43707
10/19/2018,179.75,174,174.7,10469358,18454.37772,48773
10/22/2018,176.85,170.05,170.75,11721075,20196.65261,51854
10/23/2018,175.7,169.55,170.65,15588511,26932.77113,61933
10/24/2018,175,169,170.65,15421903,26376.20602,73756
10/25/2018,169.75,164.6,165.35,14877057,24784.97163,68191
10/26/2018,172.8,165.9,168.5,19584723,33236.0887,45045
10/29/2018,176.5,167.7,175.35,14171750,24603.31074,29860
10/30/2018,181.5,176.05,177.25,15602414,27856.45578,33238
10/31/2018,180,173.45,179.1,12579712,22188.6341,38252
11/1/2018,186.05,178.2,179.45,28947802,52680.6121,70890
11/2/2018,191.85,180.9,190.3,29425248,55248.49486,67396
11/5/2018,191.3,186.65,189.8,14818506,27973.30818,41348
11/6/2018,199.95,191.75,193.25,35339222,69402.63731,59853
11/7/2018,195.75,193.35,194.85,3932893,7662.393761,5401
11/9/2018,200.75,192,195.25,22341961,43985.31804,39763
11/12/2018,194.45,185.2,186.05,20789180,39226.57956,45194
11/13/2018,183,178.35,179.5,22189598,40037.79578,49074
11/14/2018,183,176.25,176.8,15795883,28343.10898,44324
11/15/2018,182.7,177.5,180.2,18740276,33881.6199,43520
11/16/2018,181.85,177.85,179.9,10022823,18010.50373,39808
11/19/2018,185.5,179.1,184.6,14522581,26594.45144,44270
11/20/2018,188.3,183.2,183.75,13114982,24311.50694,45323
11/21/2018,186.75,183.75,184.15,8097107,14964.50715,29630
11/22/2018,186.15,181.75,182.55,9135857,16765.49532,27156
11/26/2018,184.45,177,181.75,9865426,17758.78963,45920
11/27/2018,184.55,178.55,180.05,11639680,21112.1822,55868
11/28/2018,181.35,174,174.45,12504717,22052.9496,63993
